REGION;feature;ai;pi
North-west;Bonaparte Gulf;24106.37055;511.0591288
North-west;Cambridge-Bonaparte;3521.588503;2884.318361
North-west;Canning;16273.48124;7334.397911
North-west;Eighty Mile Beach;8037.464607;7639.528455
North-west;Kimberley;28455.75942;24657.66003
North-west;Ningaloo;7340.134795;4234.935759
North-west;Northwest Shelf;153739.1646;38344.60779
North-west;Oceanic Shoals;80579.14452;33393.25033
North-west;Pilbara (nearshore);1229.997705;197.6109235
North-west;Pilbara (offshore);30462.99249;6624.153277
North-west;Zuytdorp;32995.53264;14302.02924
North-west;Central Western Transition;162890.8996;75970.56082
North-west;Northwest Province;178651.4168;29153.89093
North-west;Northwest Transition;183547.7667;95946.91426
North-west;Timor Province;155898.7562;54770.4862
